application_system_id;application_system_hex_id;application_system_name;application_system_current_state;application_system_diagram_hex_id;application_system_diagram_description;interaction_id;interaction_name;from_application_id;from_application_hex_id;from_application_name;to_application_id;to_application_hex_id;to_application_name;middleware;middleware_id_0;middleware_name_0;middleware_id_1;middleware_name_1;middleware_id_2;middleware_name_2;middleware_id_3;middleware_name_3;interface_type;pan;pci_card_holder;privacy_flag
HBjNmhfvXLvE;5ED29AF061E63B95;Customer Care POCI (PEGA);Production;5ED29B0A61E653A3;Application System Structure Diagram-2;20FE3F7561FA9F44;Send CardHolder Certificate;gL08axYeSDkK;5ED29AEC61E637FF;Automation Operational Communication (Inspire);D5TQnuceSTpF;5ED29AEA61E63612;CCMS;Yes;s2vXqg8gTHFQ;MQ Series;;;;;;;MESSAGE QUEUE;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;643A961B61EE13DF;Authorization Initiation request (cain.001)/response (cain 002);OBdLcfAoWjNN;885D1144645DD2FB;Holistic Pay - Payment Gateway for Debit;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS REST;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;83C791065FD75BAC;Financial Reversal (0400,0401,0420) [TCP/IP];bjx2sYngSneF;486D6A4163E341DD;Authentic;MhIZ0lvHSXG6;486D6A4463E34437;Visa EAS (EAS-C);No;;;;;;;;;WS TCP/IP;Yes;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;200E76B25FD378B8;MC Clearing Incoming file [FILE];D5TQnuceSTpF;ECEB275263C543F8;CCMS;U7zK4J6LSDz3;6F32711963C51409;Sterling Connect Direct;No;;;;;;;;;DATA FILE;Yes;No;No
K6cdP3RiTDzA;9E61B0D95DB12BD3;Automation Operational Communications (Inspire);Production;9E61B56D5DB12D60;Application System Structure Diagram-2;20FE3F7561FA9F44;Send CardHolder Certificate;gL08axYeSDkK;9E61B59B5DB12ED5;Automation Operational Communication (Inspire);D5TQnuceSTpF;9E61B58C5DB12E7B;CCMS;Yes;s2vXqg8gTHFQ;MQ Series;;;;;;;MESSAGE QUEUE;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;83C7893D5FD73D1D;AGGA [FILE];bjx2sYngSneF;486D6A4163E341DD;Authentic;D5TQnuceSTpF;486D6A4263E34289;CCMS;No;;;;;;;;;DATA FILE;No;No;No
r(3aPL9xZjcF;903F955963EC3E6B;Cornèr Partner Integration (CPI);Production;903F956863EC47C8;Cornèr Partner Integration Diagram;0B5B4B2F64187C5F;CCMS.GetCardRelatedNumbersRetrieving;D5TQnuceSTpF;903F955763EC3D98;CCMS;6(H9MK4LYbFE;903F955763EC3D17;Cornèr Partner Integration (CPI);No;;;;;;;;;WS REST;Yes;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;33A463A05FD7A24A;Authorization Request [WS];bjx2sYngSneF;486D6A4163E341DD;Authentic;D5TQnuceSTpF;486D6A4263E34289;CCMS;No;;;;;;;;;WS REST;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;83C793E55FD76B12;Activation Code Notification (0100) [TCP/IP];bjx2sYngSneF;486D6A4163E341DD;Authentic;w5TQUyceSL7G;486D6A4263E342DF;Mastercard MIP;No;;;;;;;;;WS TCP/IP;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;643A96D561EE1801;Balance Enquiry Initiation request (cain.016)/response (cain017);OBdLcfAoWjNN;885D1144645DD2FB;Holistic Pay - Payment Gateway for Debit;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS REST;No;No;No
