id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
ZEBhLpwMbHwN;ACB3ACD5655B5FA4;nvlsXXXXXXXXer.local;prod;nvlsXXXXXXXX;prodXXXXXXXX;nvlsXXXXXXXXer.local;3;1XX3
jE2RtmcEcLdP;6C236C37663A6675;qaccXXXXXXXXer.tech;ittest;qaccXXXXXXXX;moonXXXXXXXX;qaccXXXXXXXXer.tech;3;1XX5
STEDBe3MYP33;34E73A0B62580C36;sntbXXXXXXXXh;prod;NDXXXXXXXX;prodXXXXXXXX;sntbXXXXXXXXh;3;2XX7
eMQLg4ChYL1e;55A5C12A62ACA015;sperXXXXXXXX.cornercard.local;prep;sperXXXXXXXX;prepXXXXXXXX;sperXXXXXXXX.cornercard.local;2;1XX4
2GQVisNGazE9;7DA47DAC644124EF;dynwXXXXXXXXer.tech;ittest;dynwXXXXXXXX;moonXXXXXXXX;dynwXXXXXXXXer.tech;3;1XX1
lLA9uI2karP4;24A524B864B8119D;ulxbXXXXXXXXup;prod;NDXXXXXXXX;techXXXXXXXX;ulxbXXXXXXXXup;3;8XX
xEBhLpwMbnxN;ACB3ACD5655B5FBC;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
6F2RtmcEcveP;6C236C37663A668E;qgs-XXXXXXXXer.group;prod;qgs_XXXXXXXX;greeXXXXXXXX;qgs-XXXXXXXXer.group;3;1XX7
9UEDCe3MY963;34E73A0C62580C62;authXXXXXXXXercard.local;prod;authXXXXXXXX;prodXXXXXXXX;authXXXXXXXXercard.local;1;1XX0
kDo1fSWiYDTB;0723072962B22DD3;wp0bXXXXXXXXr.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXr.ch;3;6XX
LGQVisNGa5G9;7DA47DAC64412501;osmaXXXXXXXXt.corner.local;ittest;osmaXXXXXXXX;itteXXXXXXXX;osmaXXXXXXXXt.corner.local;3;1XX7
CMA9uI2kafR4;24A524B864B811BA;ulxbXXXXXXXX;prod;NDXXXXXXXX;cornXXXXXXXX;ulxbXXXXXXXX;3;3XX
GEJe85wNbrjC;A133A148655F32DD;pgsqXXXXXXXXner.local;prod;pgsqXXXXXXXX;prodXXXXXXXX;pgsqXXXXXXXXner.local;2;1XX1
PF2RtmcEc5gP;6C236C37663A66A1;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
pTEDCe3MYn43;34E73A0C62580C4C;wr0sXXXXXXXXer.ch;prep;NDXXXXXXXX;prodXXXXXXXX;wr0sXXXXXXXXer.ch;2;6XX
X9Iyn4lrY1D9;F122F13162D624D0;dkr-XXXXXXXXr.ch;prod;dkr_XXXXXXXX;prodXXXXXXXX;dkr-XXXXXXXXr.ch;1;1XX3
7IopiyiGaLj7;CF24CF2C64421ED5;rabmXXXXXXXXner.local;prep;rabmXXXXXXXX;prepXXXXXXXX;rabmXXXXXXXXner.local;2;1XX9
MKA9uI2kaHK4;24A524B864B81144;up0bXXXXXXXXr.local;prod;NDXXXXXXXX;prodXXXXXXXX;up0bXXXXXXXXr.local;2;1XX6
